X1,X2,U
-1.578552814,-1.495422036,-9.994755228
-1.593507034,-1.477858802,-9.997493772
-1.608285622,-1.460072214,-9.999232576
-1.622886345,-1.442064677,-9.999971464
-1.637306991,-1.423838635,-9.999710363
-1.651545378,-1.405396561,-9.9984493
-1.665599343,-1.386740966,-9.9961884
-1.679466753,-1.367874392,-9.99292789
-1.693145497,-1.348799415,-9.988668095
-1.706633491,-1.329518644,-9.983409442
-1.719928677,-1.310034718,-9.977152456
-1.733029025,-1.290350311,-9.969897763
-1.745932528,-1.270468125,-9.961646088
-1.758637209,-1.250390894,-9.952398258
-1.771141118,-1.230121382,-9.942155195
-1.783442332,-1.209662385,-9.930917926
-1.795538956,-1.189016725,-9.918687573
-1.807429123,-1.168187254,-9.90546536
-1.819110995,-1.147176853,-9.891252608
-1.830582764,-1.125988431,-9.876050739
-1.841842648,-1.104624923,-9.859861274
-1.852888897,-1.083089293,-9.84268583
-1.86371979,-1.06138453,-9.824526126
-1.874333636,-1.039513648,-9.805383978
-1.884728772,-1.017479689,-9.785261299
-1.894903569,-0.995285717,-9.764160103
-1.904856426,-0.972934823,-9.742082499
-1.914585774,-0.95043012,-9.719030694
-1.924090076,-0.927774746,-9.695006995
-1.933367823,-0.904971859,-9.670013802
-1.942417542,-0.882024643,-9.644053617
-1.951237788,-0.858936301,-9.617129034
-1.959827151,-0.835710058,-9.589242747
-1.968184252,-0.81234916,-9.560397543
-1.976307743,-0.788856873,-9.530596307
-1.984196312,-0.765236484,-9.49984202
-1.991848677,-0.741491296,-9.468137756
-1.99926359,-0.717624632,-9.435486686
-2.006439836,-0.693639835,-9.401892076
-2.013376235,-0.669540263,-9.367357284
-2.020071637,-0.645329292,-9.331885765
-2.02652493,-0.621010314,-9.295481064
-2.032735033,-0.596586736,-9.258146823
-2.038700901,-0.572061982,-9.219886775
-2.04442152,-0.54743949,-9.180704747
-2.049895915,-0.522722711,-9.140604655
-2.055123142,-0.497915111,-9.099590511
-2.060102294,-0.473020169,-9.057666415
-2.064832495,-0.448041375,-9.01483656
-2.069312909,-0.422982233,-8.971105228
-2.073542731,-0.397846256,-8.926476794
-2.077521194,-0.37263697,-8.88095572
-2.081247564,-0.34735791,-8.834546557
-2.084721143,-0.32201262,-8.787253947
-2.087941269,-0.296604655,-8.739082619
-2.090907315,-0.271137576,-8.69003739
-2.093618691,-0.245614954,-8.640123165
-2.096074841,-0.220040367,-8.589344934
-2.098275244,-0.194417398,-8.537707776
-2.100219418,-0.168749639,-8.485216855
-2.101906915,-0.143040686,-8.431877419
-2.103337322,-0.11729414,-8.377694802
-2.104510263,-0.091513607,-8.322674422
-2.105425399,-0.065702696,-8.266821782
-2.106082426,-0.03986502,-8.210142467
-2.106481076,-0.014004197,-8.152642144
-2.106621118,0.011876157,-8.094326564
-2.106502357,0.037772422,-8.035201559
-2.106124632,0.063680976,-7.975273039
-2.105487823,0.089598199,-7.914546999
-2.104591841,0.115520468,-7.853029511
-2.103436636,0.141444164,-7.790726726
-2.102022194,0.167365667,-7.727644876
-2.100348538,0.193281358,-7.663790267
-2.098415724,0.219187623,-7.599169285
-2.096223848,0.245080849,-7.533788393
-2.093773039,0.270957425,-7.467654129
-2.091063465,0.296813748,-7.400773105
-2.088095328,0.322646216,-7.33315201
-2.084868865,0.348451234,-7.264797606
-2.081384353,0.374225211,-7.195716728
-2.077642101,0.399964564,-7.125916285
-2.073642455,0.425665715,-7.055403256
-2.069385798,0.451325095,-6.984184692
-2.064872547,0.476939141,-6.912267716
-2.060103156,0.5025043,-6.839659519
-2.055078113,0.528017027,-6.766367361
-2.049797943,0.553473786,-6.692398573
-2.044263205,0.578871053,-6.61776055
-2.038474494,0.604205312,-6.542460757
-2.032432441,0.629473059,-6.466506723
-2.026137711,0.654670802,-6.389906043
-2.019591003,0.679795061,-6.312666379
-2.012793052,0.704842368,-6.234795453
-2.005744628,0.729809269,-6.156301053
-1.998446536,0.754692322,-6.077191027
-1.990899612,0.779488101,-5.997473288
-1.983104731,0.804193195,-5.917155806
-1.975062799,0.828804205,-5.836246614
-1.966774757,0.853317751,-5.754753802
-1.95824158,0.877730467,-5.672685519
-1.949464275,0.902039006,-5.590049973
-1.940443885,0.926240036,-5.506855426
-1.931181485,0.950330242,-5.423110198
-1.921678182,0.974306331,-5.338822664
-1.911935119,0.998165024,-5.254001252
-1.901953469,1.021903063,-5.168654444
-1.891734438,1.045517212,-5.082790775
-1.881279266,1.06900425,-4.996418831
-1.870589223,1.092360981,-4.90954725
-1.859665614,1.115584227,-4.822184717
-1.848509771,1.138670833,-4.734339971
-1.837123063,1.161617665,-4.646021794
-1.825506886,1.184421612,-4.557239019
-1.81366267,1.207079585,-4.468000524
-1.801591874,1.229588519,-4.378315233
-1.789295989,1.251945372,-4.288192113
-1.776776536,1.274147126,-4.197640178
-1.764035064,1.296190788,-4.106668483
-1.751073156,1.318073389,-4.015286124
-1.737892423,1.339791986,-3.92350224
-1.724494503,1.361343662,-3.831326009
-1.710881066,1.382725526,-3.738766648
-1.697053811,1.403934712,-3.645833414
-1.683014464,1.424968382,-3.5525356
-1.66876478,1.445823727,-3.458882535
-1.654306543,1.466497962,-3.364883585
-1.639641563,1.486988334,-3.270548149
-1.62477168,1.507292116,-3.175885661
-1.609698758,1.52740661,-3.080905587
-1.594424692,1.547329147,-2.985617425
-1.578951401,1.56705709,-2.890030704
-1.56328083,1.586587828,-2.794154982
-1.547414952,1.605918783,-2.697999847
-1.531355764,1.625047407,-2.601574914
-1.51510529,1.643971183,-2.504889826
-1.498665578,1.662687625,-2.407954251
-1.482038702,1.681194277,-2.310777883
-1.465226759,1.699488718,-2.213370439
-1.448231872,1.717568558,-2.115741659
-1.431056186,1.735431438,-2.017901308
-1.413701872,1.753075033,-1.919859167
-1.396171121,1.770497052,-1.821625043
-1.378466151,1.787695236,-1.723208757
-1.360589199,1.804667361,-1.624620152
-1.342542525,1.821411235,-1.525869086
-1.324328413,1.837924702,-1.426965435
-1.305949166,1.854205641,-1.327919089
-1.287407109,1.870251963,-1.228739951
-1.26870459,1.886061618,-1.129437941
-1.249843973,1.901632587,-1.030022987
-1.230827648,1.91696289,-0.930505033
-1.211658019,1.932050582,-0.830894028
-1.192337513,1.946893752,-0.731199935
-1.172868575,1.961490527,-0.631432722
-1.15325367,1.975839071,-0.531602367
-1.133495279,1.989937584,-0.431718852
-1.113595903,2.003784301,-0.331792165
-1.09355806,2.017377498,-0.2318323
-1.073384285,2.030715484,-0.131849251
-1.053077131,2.043796609,-0.031853018
-1.032639165,2.05661926,0.068146401
-1.012072972,2.069181859,0.168139005
-0.991381153,2.081482869,0.268114795
-0.970566325,2.09352079,0.368063774
-0.949631117,2.105294161,0.467975947
-0.928578175,2.116801558,0.567841323
-0.90741016,2.128041598,0.667649915
-0.886129744,2.139012935,0.767391743
-0.864739614,2.149714262,0.867056832
-0.843242472,2.16014431,0.966635216
-0.821641029,2.170301853,1.066116938
-0.79993801,2.1801857,1.165492049
-0.778136153,2.189794702,1.264750611
-0.756238206,2.199127747,1.363882699
-0.734246929,2.208183766,1.462878401
-0.712165091,2.216961726,1.561727815
-0.689995474,2.225460636,1.660421059
-0.667740867,2.233679545,1.758948261
-0.645404072,2.241617541,1.85729957
-0.622987896,2.249273752,1.955465151
-0.600495159,2.256647345,2.053435187
-0.577928685,2.263737529,2.151199881
-0.55529131,2.270543552,2.248749457
-0.532585875,2.277064703,2.346074159
-0.509815228,2.28330031,2.443164257
-0.486982224,2.289249742,2.54001004
-0.464089727,2.294912408,2.636601824
-0.441140603,2.300287756,2.73292995
-0.418137725,2.305375277,2.828984785
-0.395083973,2.3101745,2.924756724
-0.371982228,2.314684995,3.02023619
-0.348835378,2.318906372,3.115413635
-0.325646314,2.322838281,3.210279541
-0.302417931,2.326480414,3.304824422
-0.279153127,2.329832499,3.399038823
-0.255854802,2.33289431,3.492913323
-0.232525859,2.335665655,3.586438535
-0.209169202,2.338146387,3.679605106
-0.185787739,2.340336395,3.772403719
-0.162384375,2.342235612,3.864825095
-0.138962018,2.343844007,3.956859992
-0.115523578,2.345161592,4.048499206
-0.092071962,2.346188415,4.139733574
-0.068610078,2.346924568,4.230553971
-0.045140833,2.347370179,4.320951317
-0.021667131,2.347525418,4.410916572
0.001808123,2.347390492,4.500440738
0.025282028,2.346965649,4.589514864
0.048751685,2.346251175,4.678130042
0.072214197,2.345247397,4.766277411
0.09566667,2.343954678,4.853948157
0.119106217,2.342373423,4.941133511
0.142529951,2.340504072,5.027824757
0.165934992,2.338347106,5.114013224
0.189318463,2.335903044,5.199690294
0.212677494,2.333172443,5.284847399
0.236009218,2.330155898,5.369476024
0.259310777,2.326854042,5.453567706
0.282579318,2.323267546,5.537114036
0.305811993,2.319397118,5.620106659
0.329005964,2.315243503,5.702537276
0.352158399,2.310807484,5.784397644
0.375266474,2.306089881,5.865679577
0.398327373,2.301091551,5.946374947
0.421338288,2.295813388,6.026475684
0.444296422,2.29025632,6.105973779
0.467198985,2.284421313,6.184861282
0.490043199,2.278309371,6.263130303
0.512826292,2.27192153,6.340773017
0.535545508,2.265258864,6.417781659
0.558198096,2.258322482,6.494148528
0.580781321,2.251113527,6.569865987
0.603292456,2.243633179,6.644926466
0.625728788,2.23588265,6.719322457
0.648087615,2.227863188,6.793046521
0.670366246,2.219576076,6.866091287
0.692562007,2.21102263,6.938449449
0.714672234,2.202204198,7.010113772
0.736694276,2.193122164,7.08107709
0.758625497,2.183777944,7.151332306
0.780463277,2.174172987,7.220872394
0.802205006,2.164308774,7.289690401
0.823848094,2.15418682,7.357779446
0.845389962,2.143808669,7.425132718
0.866828049,2.133175901,7.491743483
0.888159808,2.122290123,7.557605081
0.909382709,2.111152977,7.622710924
0.930494239,2.099766133,7.687054502
0.9514919,2.088131292,7.750629381
0.972373213,2.076250188,7.813429204
0.993135715,2.064124581,7.87544769
1.013776961,2.051756264,7.936678638
1.034294524,2.039147057,7.997115925
1.054685994,2.02629881,8.056753507
1.074948982,2.013213402,8.115585421
1.095081116,1.99989274,8.173605782
1.115080044,1.986338758,8.23080879
1.134943431,1.97255342,8.287188724
1.154668966,1.958538715,8.342739946
